lad21cd,local_authority,in_lad,wa21cd,population,collection_type,collection_type_sort,in_foi,waste_authority,waste_authority_type,total_collected,total_recycled,total_not_recycled,total_rejects,household_collected,household_recycled,household_not_recycled,household_rejects,non_household_collected,non_household_recycled,non_household_not_recycled,non_household_rejects,in_rec,household_recycle_rate,rgn21cd,region,bng_e,bng_n,long,lat,household_collected_per_cap
E06000001,Hartlepool,Y,E06000001,92571,Co-Mingled,1,Y,Hartlepool Borough Council,Unitary,45400,13264,32136,510,39552,12893,26659,510,5848,371,5477,0,Y,0.325975930420712,E12000001,North East,447160,531474,-1.27018,54.6761,0.427261237320543
E06000002,Middlesbrough,Y,E06000002,143734,Co-Mingled,1,Y,Middlesbrough Borough Council,Unitary,67649,20557,47092,3754,64433,19169,45264,3754,3216,1388,1828,0,Y,0.297502832399547,E12000001,North East,451141,516887,-1.21099,54.5447,0.448279460670405
E06000003,Redcar and Cleveland,Y,E06000003,136616,Two Stream,2,Y,Redcar and Cleveland Borough Council,Unitary,67283,23107,44177,1848,57866,22077,35789,1848,9417,1030,8388,0,Y,0.381519372342999,E12000001,North East,464361,519597,-1.00608,54.5675,0.423566785735199
E06000004,Stockton-on-Tees,Y,E06000004,197030,Multi-Stream,3,Y,Stockton-on-Tees Borough Council,Unitary,105430,32635,72794,-458,88050,22592,65458,-458,17380,10044,7337,0,Y,0.256581487791028,E12000001,North East,444940,518183,-1.30664,54.5569,0.446886260975486
E06000005,Darlington,Y,E06000005,108222,Multi-Stream,3,Y,Darlington Borough Council,Unitary,52638,17080,35559,1561,46203,14968,31235,1561,6435,2112,4324,0,Y,0.323961647512066,E12000001,North East,428029,515648,-1.56835,54.5353,0.426927981371625
E06000006,Halton,Y,E06000006,128577,Co-Mingled,1,Y,Halton Borough Council,Unitary,63344,24560,38783,3055,59958,22137,37821,3055,3385,2423,962,0,Y,0.369208445912139,E12000002,North West,354246,382146,-2.68853,53.3342,0.466319792808978
E06000007,Warrington,Y,E06000007,211227,Co-Mingled,1,Y,Warrington Borough Council,Unitary,99795,42421,57374,4431,94463,39753,54710,4431,5331,2668,2664,0,Y,0.420831436647153,E12000002,North West,362744,388456,-2.56167,53.3916,0.447210820586383
E06000008,Blackburn with Darwen,Y,E06000008,154922,Two Stream,2,Y,Blackburn with Darwen Borough Council,Unitary,60314,16806,43508,1128,54455,16558,37897,1128,5859,247,5612,0,Y,0.304067578734735,E12000002,North West,369490,422806,-2.4636,53.7008,0.351499464246524
E06000009,Blackpool,Y,E06000009,140954,Two Stream,2,Y,Blackpool Borough Council,Unitary,71794,28999,42795,1016,65295,27249,38046,1016,6500,1750,4749,0,Y,0.417321387548817,E12000002,North West,332819,436635,-3.02199,53.8216,0.463236233097323
E06000010,"Kingston upon Hull, City of",Y,E06000010,266463,Co-Mingled,1,Y,Kingston-upon-Hull City Council,Unitary,125518,60174,65344,3046,110225,52902,57323,3046,15293,7272,8021,0,Y,0.479945565887956,E12000003,Yorkshire and The Humber,511894,431650,-0.30382,53.7692,0.413659682582573
E06000011,East Riding of Yorkshire,Y,E06000011,343143,Co-Mingled,1,Y,East Riding of Yorkshire Council,Unitary,204162,122588,81574,8777,178205,107044,71161,8777,25957,15545,10413,0,Y,0.60067899329424,E12000003,Yorkshire and The Humber,488056,443597,-0.66195,53.8811,0.519331590619654
E06000012,North East Lincolnshire,Y,E06000012,157197,Multi-Stream,3,Y,North East Lincolnshire Council,Unitary,75792,29505,46287,179,73462,28534,44928,179,2331,971,1359,0,Y,0.388418502082709,E12000003,Yorkshire and The Humber,523465,404564,-0.13911,53.5233,0.467324440033843
E06000013,North Lincolnshire,Y,E06000013,169940,Multi-Stream,3,Y,North Lincolnshire Council,Unitary,93562,47397,46164,-49,85641,44272,41369,-49,7921,3125,4796,0,Y,0.516948657769059,E12000003,Yorkshire and The Humber,497800,410993,-0.52407,53.5864,0.503948452394963
E06000014,York,Y,E06000014,201672,Multi-Stream,3,Y,York City Council,Unitary,93699,37978,55721,3256,83151,35900,47251,3256,10548,2078,8470,0,Y,0.431744657310195,E12000003,Yorkshire and The Humber,460864,452589,-1.07375,53.9658,0.412308104248483
E06000015,Derby,Y,E06000015,261136,Co-Mingled,1,Y,Derby City Council,Unitary,107538,39159,68379,3314,103109,38454,64655,3314,4428,705,3724,0,Y,0.37294513573015,E12000004,East Midlands,435609,335375,-1.47189,52.9146,0.39484789534955
E06000016,Leicester,Y,E06000016,366018,Co-Mingled,1,Y,Leicester City Council,Unitary,146566,58279,88286,1827,133016,48563,84453,1827,13550,9717,3833,0,Y,0.365091417573826,E12000004,East Midlands,458946,304594,-1.1304,52.6359,0.363413821178193
E06000017,Rutland,Y,E06000017,41381,Co-Mingled,1,Y,Rutland County Council,Unitary,21245,11842,9402,563,20248,10416,9832,563,996,1426,-430,0,Y,0.514421177400237,E12000004,East Midlands,492992,308655,-0.6263,52.6676,0.489306686643629
E06000018,Nottingham,Y,E06000018,319566,Two Stream,2,Y,Nottingham City Council,Unitary,161892,44024,117868,5677,117450,29705,87745,5677,44442,14319,30123,0,Y,0.25291613452533,E12000004,East Midlands,456082,339969,-1.16667,52.9542,0.367529712172134
E06000019,"Herefordshire, County of",Y,E06000019,187557,Co-Mingled,1,Y,Herefordshire Council,Unitary,83953,33723,50230,3111,73611,28830,44781,3111,10342,4893,5450,0,Y,0.391653421363655,E12000005,West Midlands,349434,242834,-2.73931,52.0815,0.392472688302756
E06000020,Telford and Wrekin,Y,E06000020,185842,Two Stream,2,Y,Telford and Wrekin Council,Unitary,95650,50758,44891,2454,89832,44132,45700,2454,5818,6626,-808,0,Y,0.491272597738,E12000005,West Midlands,367035,313057,-2.48941,52.7142,0.483378353655256
E06000021,Stoke-on-Trent,Y,E06000021,258037,Two Stream,2,Y,Stoke-on-Trent City Council,Unitary,119790,38406,81384,3655,106685,36800,69885,3655,13105,1607,11498,0,Y,0.344940713314899,E12000005,West Midlands,389438,346652,-2.15888,53.0171,0.413448458941935
E06000022,Bath and North East Somerset,Y,E06000022,192423,Two Stream,2,Y,Bath and North East Somerset Council,Unitary,83809,50069,33739,945,75403,44602,30801,945,8406,5467,2939,0,Y,0.591514926461812,E12000009,South West,366217,161999,-2.48654,51.356,0.39186064036004
E06000023,"Bristol, City of",Y,E06000023,471117,Multi-Stream,3,Y,Bristol City Council,Unitary,201281,91174,110106,-764,165996,75760,90237,-764,35284,15414,19870,0,Y,0.456396539675655,E12000009,South West,359990,174846,-2.57742,51.4711,0.352345595680054
E06000024,North Somerset,Y,E06000024,217399,Multi-Stream,3,Y,North Somerset Council,Unitary,101750,61383,40367,638,98294,58480,39813,638,3456,2902,553,0,Y,0.594949844344518,E12000009,South West,347614,166718,-2.75438,51.3971,0.452136394371639
E06000025,South Gloucestershire,Y,E06000025,290736,Multi-Stream,3,Y,South Gloucestershire Council,Unitary,128013,78186,49827,1133,122522,73355,49168,1133,5491,4832,659,0,Y,0.598708803316955,E12000009,South West,367559,183198,-2.46922,51.5467,0.421420119971383
E06000026,Plymouth,Y,E06000026,264727,Co-Mingled,1,Y,Plymouth City Council,Unitary,132501,47414,85087,2471,107829,37245,70584,2471,24672,10169,14503,0,Y,0.345408007122388,E12000009,South West,249945,58255,-4.11297,50.4049,0.407321504795506
E06000027,Torbay,Y,E06000027,139446,Two Stream,2,Y,Torbay Council,Unitary,65723,23983,41740,140,58274,21611,36663,140,7449,2372,5077,0,Y,0.370851494663143,E12000009,South West,289730,64613,-3.55523,50.4709,0.417896533425125
E06000030,Swindon,Y,E06000030,233713,Multi-Stream,3,Y,Swindon Borough Council,Unitary,100823,38947,61877,-866,95499,34901,60599,-866,5324,4046,1278,0,Y,0.365459324181405,E12000009,South West,418551,186564,-1.73367,51.5776,0.408616551069046
E06000031,Peterborough,Y,E06000031,216349,Co-Mingled,1,Y,Peterborough City Council,Unitary,90714,37196,53518,2137,86036,33461,52575,2137,4678,3736,943,0,Y,0.388918592217211,E12000006,East of England,517372,300777,-0.26874,52.5921,0.397672279511345
E06000032,Luton,Y,E06000032,224826,Two Stream,2,Y,Luton Borough Council,Unitary,88181,24853,63328,1529,78753,22541,56212,1529,9428,2312,7117,0,Y,0.28622401686285,E12000006,East of England,508606,222559,-0.42319,51.891,0.350284219796643
E06000033,Southend-on-Sea,Y,E06000033,180601,Two Stream,2,Y,Southend-on-Sea Borough Council,Unitary,82232,35708,46523,2262,78028,33546,44482,2262,4203,2162,2041,0,Y,0.429922591890091,E12000006,East of England,587777,186837,0.706923,51.5492,0.432046334184196
E06000034,Thurrock,Y,E06000034,175902,Co-Mingled,1,Y,Thurrock Council,Unitary,81209,23593,57616,2060,71269,20454,50815,2060,9939,3138,6801,0,Y,0.286997151636757,E12000006,East of England,562123,181590,0.334861,51.51,0.405163102181897
E06000035,Medway,Y,E06000035,279827,Two Stream,2,Y,Medway Borough Council,Unitary,128291,54370,73921,3576,123123,49911,73212,3576,5168,4459,709,0,Y,0.405375112692186,E12000008,South East,578207,175198,0.563174,51.4477,0.43999685519982
E06000036,Bracknell Forest,Y,E06000036,125174,Co-Mingled,1,Y,Bracknell Forest Borough Council,Unitary,49177,27785,21392,1832,48361,27178,21183,1832,816,607,209,0,Y,0.561981762163727,E12000008,South East,488169,168792,-0.73363,51.4113,0.386350200520875
E06000037,West Berkshire,Y,E06000037,161865,Multi-Stream,3,Y,West Berkshire District Council,Unitary,74934,37027,37907,1631,74019,36263,37755,1631,916,763,152,0,Y,0.489914751617828,E12000008,South East,450575,172095,-1.27364,51.4456,0.457288481141692
E06000038,Reading,Y,E06000038,173170,Co-Mingled,1,Y,Reading Borough Council,Unitary,64185,30228,33956,2261,56349,28993,27356,2261,7836,1235,6601,0,Y,0.514525546149887,E12000008,South East,470226,173154,-0.99071,51.453,0.325397008719755
E06000039,Slough,Y,E06000039,158289,Co-Mingled,1,Y,Slough Borough Council,Unitary,59907,15213,44694,416,52705,14050,38655,416,7202,1163,6040,0,Y,0.266578123517693,E12000008,South East,498920,179246,-0.57617,51.5035,0.332966914946711
E06000040,Windsor and Maidenhead,Y,E06000040,153921,Co-Mingled,1,Y,Windsor and Maidenhead Borough Council,Unitary,66414,33819,32595,1924,64858,32708,32150,1924,1555,1111,444,0,Y,0.504301705263807,E12000008,South East,492079,176541,-0.67541,51.4803,0.421372002520774
E06000041,Wokingham,Y,E06000041,178169,Co-Mingled,1,Y,Wokingham Council,Unitary,72727,39711,33017,2399,71568,38807,32761,2399,1159,904,255,0,Y,0.54223954840152,E12000008,South East,476624,169902,-0.89935,51.423,0.401686039658976
E06000042,Milton Keynes,Y,E06000042,288201,Two Stream,2,Y,Milton Keynes Council,Unitary,129209,67243,61966,4215,121438,62984,58454,4215,7771,4259,3512,0,Y,0.518651492942901,E12000008,South East,486408,242308,-0.7407,52.0724,0.421365644116433
E06000043,Brighton and Hove,Y,E06000043,276334,Two Stream,2,Y,Brighton and Hove Council,Unitary,110115,33788,76327,1782,102209,30755,71454,1782,7906,3033,4873,0,Y,0.300903051590369,E12000008,South East,530279,106850,-0.15079,50.8465,0.369874861580551
E06000044,Portsmouth,Y,E06000044,206828,Co-Mingled,1,Y,Portsmouth City Council,Unitary,73538,19962,53576,3600,72871,19712,53159,3600,667,250,417,0,Y,0.270505413676222,E12000008,South East,465619,101352,-1.07006,50.808,0.352326570870482
E06000045,Southampton,Y,E06000045,247256,Two Stream,2,Y,Southampton City Council,Unitary,102612,26091,76521,5167,89497,24778,64719,5167,13115,1313,11802,0,Y,0.27685844218242,E12000008,South East,442303,113700,-1.39952,50.9212,0.361960882647944
E06000046,Isle of Wight,Y,E06000046,140889,Two Stream,2,Y,Isle of Wight Council,Unitary,73576,34966,38609,5801,61609,29537,32071,5801,11967,5429,6538,0,Y,0.479426707136944,E12000008,South East,447183,85949,-1.33366,50.6713,0.437287510025623
E06000047,County Durham,Y,E06000047,521346,Two Stream,2,Y,County Durham,Unitary,272484,109103,163381,10447,245246,93388,151858,10447,27238,15715,11523,0,Y,0.380793162783491,E12000001,North East,410381,532242,-1.8405,54.6851,0.470409286730885
E06000049,Cheshire East,Y,E06000049,400528,Co-Mingled,1,Y,Cheshire East,Unitary,203489,114090,89398,6790,199826,112554,87272,6790,3663,1536,2126,0,Y,0.563260036231521,E12000002,North West,380510,363462,-2.29299,53.1679,0.498906443494587
E06000050,Cheshire West and Chester,Y,E06000050,357699,Multi-Stream,3,Y,Cheshire West and Chester,Unitary,178702,106112,72590,0,170703,98357,72346,0,8000,7755,244,0,Y,0.57618788187671,E12000002,North West,353097,363145,-2.70298,53.1634,0.477225264817626
