lad21cd,local_authority,population,imd_average_score,ruc21_settlement_class,rurality,collection_type,household_collected,household_recycled,household_recycle_rate,population_density
E06000001,Hartlepool,92571,35.037,Urban,0.031,Co-Mingled,39552,12893,0.325975930420712,941.230200452121
E06000002,Middlesbrough,143734,40.46,Urban,0.002,Co-Mingled,64433,19169,0.297502832399547,2634.73053405719
E06000003,Redcar and Cleveland,136616,29.792,Intermediate urban,0.317,Two Stream,57866,22077,0.381519372342999,538.313163105043
E06000004,Stockton-on-Tees,197030,25.79,Urban,0.056,Multi-Stream,88050,22592,0.256581487791028,939.442331490036
E06000005,Darlington,108222,25.657,Urban,0.131,Multi-Stream,46203,14968,0.323961647512066,548.021182463985
E06000006,Halton,128577,32.325,Urban,0.007,Co-Mingled,59958,22137,0.369208445912139,1423.54775009183
E06000007,Warrington,211227,18.942,Urban,0.086,Co-Mingled,94463,39753,0.420831436647153,1158.14670248608
E06000008,Blackburn with Darwen,154922,36.013,Urban,0.045,Two Stream,54455,16558,0.304067578734735,1130.63530091958
E06000009,Blackpool,140954,45.039,Urban,0,Two Stream,65295,27249,0.417321387548817,3266.54657521039
E06000010,"Kingston upon Hull, City of",266463,40.564,Urban,0,Co-Mingled,110225,52902,0.479945565887956,3270.7342281332
E06000011,East Riding of Yorkshire,343143,15.605,Intermediate rural,0.436,Co-Mingled,178205,107044,0.60067899329424,137.709715610195
E06000012,North East Lincolnshire,157197,31.335,Urban,0.066,Multi-Stream,73462,28534,0.388418502082709,775.65885747239
E06000013,North Lincolnshire,169940,22.096,Intermediate rural,0.442,Multi-Stream,85641,44272,0.516948657769059,193.356781502698
E06000014,York,201672,11.727,Urban,0.138,Multi-Stream,83151,35900,0.431744657310195,741.414853952864
E06000015,Derby,261136,26.323,Urban,0,Co-Mingled,103109,38454,0.37294513573015,3346.56208592053
E06000016,Leicester,366018,30.877,Urban,0.002,Co-Mingled,133016,48563,0.365091417573826,4990.55987274994
E06000017,Rutland,41381,8.381,Rural,0.65,Co-Mingled,20248,10416,0.514421177400237,105.094894923236
E06000018,Nottingham,319566,34.891,Urban,0,Two Stream,117450,29705,0.25291613452533,4282.94829988433
E06000019,"Herefordshire, County of",187557,18.89,Rural,0.54,Co-Mingled,73611,28830,0.391653421363655,86.0467896709603
E06000020,Telford and Wrekin,185842,24.988,Urban,0.06,Two Stream,89832,44132,0.491272597738,640.142370702971
E06000021,Stoke-on-Trent,258037,34.504,Urban,0.002,Two Stream,106685,36800,0.344940713314899,2761.27545262188
E06000022,Bath and North East Somerset,192423,11.745,Intermediate urban,0.235,Two Stream,75403,44602,0.591514926461812,548.021301785006
E06000023,"Bristol, City of",471117,26.363,Urban,0,Multi-Stream,165996,75760,0.456396539675655,2000.990698487
E06000024,North Somerset,217399,15.825,Intermediate urban,0.207,Multi-Stream,98294,58480,0.594949844344518,556.766449341973
E06000025,South Gloucestershire,290736,11.66,Urban,0.115,Multi-Stream,122522,73355,0.598708803316955,541.651479133597
E06000026,Plymouth,264727,26.619,Urban,0,Co-Mingled,107829,37245,0.345408007122388,3137.6992681681
E06000027,Torbay,139446,28.104,Urban,0.003,Two Stream,58274,21611,0.370851494663143,1167.37759954365
E06000030,Swindon,233713,18.622,Urban,0.101,Multi-Stream,95499,34901,0.365459324181405,1015.73110673337
E06000031,Peterborough,216349,27.821,Urban,0.106,Co-Mingled,86036,33461,0.388918592217211,629.95091280141
E06000032,Luton,224826,25.908,Urban,0,Two Stream,78753,22541,0.28622401686285,5185.99952523004
E06000033,Southend-on-Sea,180601,22.375,Urban,0,Two Stream,78028,33546,0.429922591890091,2657.30014341097
E06000034,Thurrock,175902,20.928,Urban,0.134,Co-Mingled,71269,20454,0.286997151636757,953.752802701362
E06000035,Medway,279827,23.936,Urban,0.116,Two Stream,123123,49911,0.405375112692186,1040.54564192482
E06000036,Bracknell Forest,125174,10.241,Urban,0.021,Co-Mingled,48361,27178,0.561981762163727,1144.35158990796
E06000037,West Berkshire,161865,9.952,Intermediate rural,0.387,Multi-Stream,74019,36263,0.489914751617828,229.866563531611
E06000038,Reading,173170,19.619,Urban,0,Co-Mingled,56349,28993,0.514525546149887,4286.5991358475
E06000039,Slough,158289,22.965,Urban,0,Co-Mingled,52705,14050,0.266578123517693,4864.14344452513
E06000040,Windsor and Maidenhead,153921,8.376,Urban,0.102,Co-Mingled,64858,32708,0.504301705263807,775.705267211636
E06000041,Wokingham,178169,5.846,Urban,0.17,Co-Mingled,71568,38807,0.54223954840152,995.549517796236
E06000042,Milton Keynes,288201,17.98,Urban,0.067,Two Stream,121438,62984,0.518651492942901,933.817180188143
E06000043,Brighton and Hove,276334,20.761,Urban,0,Two Stream,102209,30755,0.300903051590369,3236.29566033
E06000044,Portsmouth,206828,26.899,Urban,0,Co-Mingled,72871,19712,0.270505413676222,3439.15854419498
E06000045,Southampton,247256,26.876,Urban,0,Two Stream,89497,24778,0.27685844218242,4385.12511418901
E06000046,Isle of Wight,140889,23.294,Intermediate rural,0.375,Two Stream,61609,29537,0.479426707136944,358.65635243223
E06000047,County Durham,521346,26.793,Intermediate rural,0.43,Two Stream,245246,93388,0.380793162783491,233.514228438376
E06000049,Cheshire East,400528,14.475,Urban,0.18,Co-Mingled,199826,112554,0.563260036231521,343.40075051346
E06000050,Cheshire West and Chester,357699,18.083,Intermediate urban,0.256,Multi-Stream,170703,98357,0.57618788187671,380.04274596785
E06000051,Shropshire,324716,17.153,Rural,0.573,Two Stream,170499,90093,0.528407791248043,101.560222751046
E06000052,Cornwall,572010,23.072,Rural,0.554,Multi-Stream,281581,95761,0.340083315280505,158.367007764768
E06000053,Isles of Scilly,2271,12.005,Rural,1,Co-Mingled,1373,553,0.402767662053897,99.3810879732508
E06000054,Wiltshire,513411,13.447,Intermediate rural,0.413,Two Stream,218290,92163,0.422204406981538,157.713571096525
E06000055,Bedford,185761,18.932,Intermediate urban,0.318,Co-Mingled,77007,28511,0.37023906917553,389.919737981403
E06000056,Central Bedfordshire,295541,12.152,Intermediate rural,0.362,Co-Mingled,127334,58357,0.45829864765106,412.959799919239
E06000057,Northumberland,321558,22.079,Intermediate rural,0.451,Co-Mingled,158590,50684,0.319591399205498,63.319740834268
E06000058,"Bournemouth, Christchurch and Poole",400109,18.173,Urban,0.017,Co-Mingled,173327,82170,0.474075014279368,2300.37469632648
E06000059,Dorset,381292,15.735,Intermediate rural,0.467,Two Stream,182942,109436,0.598200522569995,151.241869610722
